term,translation,category,status,confidence,source,chapterRefs,reviewer,reviewedAt,locked,notes,options,desc_en,desc_vi
ideation,quá trình hình thành ý tưởng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,quá trình hình thành ý tưởng,purposeful process of opening up one’s mind to new trains of thought that branch out in many directions from a stated purpose or problem,"quá trình có chủ đích nhằm mở rộng tư duy sang các hướng suy nghĩ mới, phát triển theo nhiều hướng khác nhau từ một mục tiêu hoặc vấn đề đã xác định"
incremental innovation,đổi mới gia tăng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,đổi mới gia tăng,innovation that modifies an existing product or service,sự đổi mới điều chỉnh hoặc cải tiến một sản phẩm hoặc dịch vụ đã tồn tại
invention,phát minh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,phát minh,"truly novel product, service, or process that, though based on ideas and products that have come before, represents a leap, a creation truly novel and different","sản phẩm, dịch vụ hoặc quy trình thực sự mới, mặc dù dựa trên các ý tưởng và sản phẩm trước đó, nhưng đại diện cho một bước nhảy vọt, một sự sáng tạo thực sự mới và khác biệt"
iterative development,phát triển lặp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,phát triển lặp,process in which inventors and innovators continuously engage with potential customers in order to develop their products and their consumer bases at the same time,quá trình trong đó các nhà phát minh và nhà đổi mới liên tục tương tác với khách hàng tiềm năng nhằm phát triển sản phẩm và đồng thời xây dựng tệp khách hàng
lateral thinking,tư duy phi tuyến,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,tư duy phi tuyến,free and open thinking in which established patterns of logical thought are purposefully ignored or even challenged,"kiểu tư duy tự do và mở, trong đó các khuôn mẫu logic đã thiết lập bị cố ý bỏ qua hoặc thậm chí bị thách thức"
linear thinking,tư duy tuyến tính,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,tư duy tuyến tính,"logical, step-by-step process",quá trình tư duy logic theo từng bước
minimum viable product (mvp),sản phẩm khả thi tối thiểu (MVP),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,sản phẩm khả thi tối thiểu (MVP),early version or prototype of a product that may not be polished or complete but that functions well enough that you can begin to market it or test it with potential users,phiên bản ban đầu hoặc nguyên mẫu của một sản phẩm có thể chưa hoàn thiện nhưng vẫn hoạt động đủ tốt để có thể bắt đầu tiếp thị hoặc thử nghiệm với người dùng tiềm năng
open innovation,đổi mới mở,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,đổi mới mở,searching for and finding solutions outside of the organizational structure,việc tìm kiếm và phát hiện các giải pháp bên ngoài cấu trúc tổ chức
pain point,điểm đau (vấn đề của khách hàng),other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,điểm đau (vấn đề của khách hàng),problem that people have with a product or service that might be addressed by creating a modified version that solves the problem,vấn đề mà khách hàng gặp phải với một sản phẩm hoặc dịch vụ và có thể được giải quyết bằng cách tạo ra một phiên bản cải tiến giải quyết vấn đề đó
pioneering innovation,đổi mới tiên phong,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,đổi mới tiên phong,"one based on a new technology, a new advancement in the field, and/or an advancement in a related field that leads to the development of a new product","sự đổi mới dựa trên công nghệ mới, một tiến bộ mới trong lĩnh vực hoặc một tiến bộ trong lĩnh vực liên quan dẫn đến việc phát triển một sản phẩm mới"
scientific method,phương pháp khoa học,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,phương pháp khoa học,"most often associated with the natural sciences, outlines the process to discover an answer to a question or a problem","phương pháp thường gắn với khoa học tự nhiên, mô tả quy trình để tìm ra câu trả lời cho một câu hỏi hoặc một vấn đề"
user interface,giao diện người dùng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4,giao diện người dùng,what the user sees and interacts with,những gì người dùng nhìn thấy và tương tác
ideal screening,sàng lọc ý tưởng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4 (bổ sung),sàng lọc ý tưởng,the process of evaluating and selecting ideas based on specific criteria to determine their feasibility and potential for development.,quá trình đánh giá và lựa chọn các ý tưởng dựa trên những tiêu chí cụ thể nhằm xác định tính khả thi và tiềm năng phát triển của chúng.
creative capacity,năng lực sáng tạo,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4 (bổ sung),năng lực sáng tạo,"an individual’s or organization’s ability to generate original ideas, think creatively, and develop innovative solutions.","khả năng của cá nhân hoặc tổ chức trong việc tạo ra ý tưởng mới, tư duy sáng tạo và phát triển các giải pháp đổi mới."
innovation pipeline,quy trình phát triển đổi mới,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4 (bổ sung),quy trình phát triển đổi mới,"a structured sequence of stages through which ideas move from initial concept to development, testing, and eventual commercialization.",chuỗi các giai đoạn có cấu trúc mà trong đó các ý tưởng được phát triển từ giai đoạn ban đầu đến thử nghiệm và cuối cùng là thương mại hóa.
concept development,phát triển ý tưởng thành khái niệm,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 4 (bổ sung),phát triển ý tưởng thành khái niệm,the process of refining and elaborating an idea into a clear and structured concept that can be further developed into a product or service.,"quá trình làm rõ và hoàn thiện một ý tưởng thành một khái niệm cụ thể, có cấu trúc, để tiếp tục phát triển thành sản phẩm hoặc dịch vụ."
competitive advantage,lợi thế cạnh tranh,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,lợi thế cạnh tranh,describes your venture’s unique benefits that poise it for growth,mô tả những lợi ích độc đáo của doanh nghiệp giúp doanh nghiệp có vị thế để tăng trưởng
customers,khách hàng,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,khách hàng,"people the business will be serving, including potential customers from one or more market segments","những người mà doanh nghiệp sẽ phục vụ, bao gồm cả các khách hàng tiềm năng từ một hoặc nhiều phân khúc thị trường"
demand,nhu cầu,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,nhu cầu,"need or desire for the outputs, the product or services","nhu cầu hoặc mong muốn đối với các đầu ra, tức là sản phẩm hoặc dịch vụ"
demographics,nhân khẩu học,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,nhân khẩu học,"statistical factors of a population or group, such as information about age, gender, income, race, or ethnicity","các yếu tố thống kê của một dân số hoặc nhóm, chẳng hạn như thông tin về độ tuổi, giới tính, thu nhập, chủng tộc hoặc sắc tộc"
entrepreneurial opportunity,cơ hội khởi nghiệp,other,approved,medium,auto,,,,false,Source: glossary.md — Chương 5,cơ hội khởi nghiệp,"point at which identifiable consumer demand meets the feasibility of satisfying the requested product or service and meets the following conditions: significant market demand, significant market structure and size, significant margins, and resources to support the venture’s success","thời điểm mà nhu cầu của người tiêu dùng có thể xác định được gặp với tính khả thi của việc đáp ứng sản phẩm hoặc dịch vụ được yêu cầu, đồng thời đáp ứng các điều kiện sau: nhu cầu thị trường đáng kể, cấu trúc và quy mô thị trường đáng kể, biên lợi nhuận đáng kể và nguồn lực để hỗ trợ sự thành công của doanh nghiệp"
